Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,-60.30420341821225,10.0,,0,0,0;8
1,-8.083945413821063,10.0,,0,0,7;15
2,-34.19407441601666,22.499999999999996,,0,0,11;12;20
3,-34.194074416016676,10.000000000000004,,0,0,3;4;16;19;20
4,-27.6665421654678,19.37500000000001,,0,0,12;13;16;23
5,-27.666542165467803,9.999999999999996,,0,0,4;5;17;23
6,-21.1390099149189,16.250000000000004,,0,0,13;14;17;24
7,-47.24913891711446,16.250000000000007,,0,0,9;10;18;22
8,-40.72160666656556,10.000000000000005,,0,0,2;3;18;21
9,-40.72160666656556,19.375,,0,0,10;11;19;21
10,-47.24913891711446,10.0,,0,0,1;2;22;27
11,-21.139009914918894,10.000000000000002,,0,0,5;6;24;28
12,-53.77667116766336,10.0,,0,0,0;1;25
13,-53.77667116766336,13.125,,0,0,8;9;25;27
14,-14.611477664369978,10.0,,0,0,6;7;26
15,-14.611477664369978,13.125,,0,0,14;15;26;28
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
15,15,1,W Shapes:W12X26,Steel ASTM A992,[3.06818188e-15 9.01965448e-01 0.00000000e+00],[ 3.89476086e-01 -1.32486613e-15  8.13541669e-01],[ 9.01965448e-01 -3.06818188e-15 -4.31808211e-01]
16,3,4,W Shapes:W12X26,Steel ASTM A992,[-0.          0.57140618  0.        ],[-0.46893442 -0.          0.32650502],[0.57140618 0.         0.8206674 ]
17,5,6,W Shapes:W12X26,Steel ASTM A992,[-0.          0.72229502  0.        ],[-0.49952845 -0.          0.52171009],[0.72229502 0.         0.69158507]
18,7,8,W Shapes:W12X26,Steel ASTM A992,[-0.          0.72229502  0.        ],[0.49952845 0.         0.52171009],[ 0.72229502  0.         -0.69158507]
19,9,3,W Shapes:W12X26,Steel ASTM A992,[-0.          0.57140618  0.        ],[0.46893442 0.         0.32650502],[ 0.57140618  0.         -0.8206674 ]
20,3,2,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
21,8,9,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
22,10,7,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
23,5,4,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
24,11,6,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
25,12,13,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
26,14,15,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
27,13,10,W Shapes:W12X26,Steel ASTM A992,[-0.          0.90196545  0.        ],[0.38947609 0.         0.81354167],[ 0.90196545  0.         -0.43180821]
28,11,15,W Shapes:W12X26,Steel ASTM A992,[-0.          0.90196545  0.        ],[-0.38947609 -0.          0.81354167],[0.90196545 0.         0.43180821]
