Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,-34.194074416016676,22.499999999999996,,0,0,0;16;17
1,-8.083945413821269,10.0,,0,0,3;28
2,-21.139009914918894,13.124999999999945,,0,0,4;11;18;26;27
3,-14.611477664370007,13.124999999999945,,0,0,2;3;4;12
4,-47.24913891711446,13.124999999999948,,0,0,5;9;19;22;23
5,-40.72160666656556,19.374999999999986,,0,0,5;6;8;15;16
6,-34.194074416016676,16.249999999999922,,0,0,6;7;17;24;25
7,-27.666542165467796,19.374999999999986,,0,0,0;1;7;10;18
8,-40.72160666656556,14.68749999999994,,0,0,8;23;24
9,-47.24913891711446,16.24999999999997,,0,0,9;14;15
10,-27.666542165467796,14.68749999999994,,0,0,10;25;26
11,-21.139009914918894,16.249999999999964,,0,0,1;2;11
12,-14.611477664370007,11.562499999999954,,0,0,12;27;28
13,-60.304203418212126,10.000000000000004,,0,0,13;21
14,-53.776671167663366,13.12499999999995,,0,0,13;14;19;20
15,-53.77667116766336,11.562499999999957,,0,0,20;21;22
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
16,5,0,W Shapes:W12X26,Steel ASTM A992,[-0.          0.90196545  0.        ],[-0.38947609 -0.          0.81354167],[0.90196545 0.         0.43180821]
17,6,0,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
18,7,2,W Shapes:W12X26,Steel ASTM A992,[-0.          0.72229502  0.        ],[0.49952845 0.         0.52171009],[ 0.72229502  0.         -0.69158507]
19,14,4,W Shapes:W12X26,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
20,15,14,W Shapes:W12X26,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
21,13,15,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[-2.26398451e-01  7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15  2.32794237e-01]
22,15,4,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[-2.26398451e-01  7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15  2.32794237e-01]
23,4,8,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[-2.26398451e-01  7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15  2.32794237e-01]
24,8,6,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[-2.26398451e-01  7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15  2.32794237e-01]
25,6,10,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[ 2.26398451e-01 -7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15 -2.32794237e-01]
26,10,2,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[ 2.26398451e-01 -7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15 -2.32794237e-01]
27,2,12,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[ 2.26398451e-01 -7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15 -2.32794237e-01]
28,12,1,W Shapes:W12X26,Steel ASTM A992,[3.30820509e-15 9.72526011e-01 0.00000000e+00],[ 2.26398451e-01 -7.70131081e-16  9.45806843e-01],[ 9.72526011e-01 -3.30820509e-15 -2.32794237e-01]
